opponent,game_date,uww_biggest_run,uww_run_uww_lineup,uww_run_opp_lineup,opponent_biggest_run,opp_run_uww_lineup,opp_run_opp_lineup,uww_largest_lead,uww_lead_uww_lineup,uww_lead_opp_lineup,opponent_largest_lead,opp_lead_uww_lineup,opp_lead_opp_lineup
Alma Scots,2025-12-20,8,"Brock Marino, Collin Madson, Isaac Verges, Luke Bara, Richie Warren / Brock Marino, Collin Madson, Joey Berezowitz, Luke Bara, Richie Warren","Donovan Collins, Josh Elliott, Korbin Heitzman, Logan St. Martin, Raine Rodich",8,"Jake Quast, Joey Berezowitz, Kelton McEwen, Rashad Rogers, Tyshawn Teague-Johnson / Isaac Verges, Jake Quast, Joey Berezowitz, Rashad Rogers, Tyshawn Teague-Johnson / Collin Madson, Joey Berezowitz, Luke Bara, Richie Warren, Tyshawn Teague-Johnson","Donovan Collins, Elijah Sykes, Luciano Guerrazzi, Preston Malpass, Raine Rodich",29,"Agape Keyes Jr., Isaiah Robinson, Mauryon Turner, Rashad Rogers, Trent Grunewald","Donovan Collins, Josh Elliott, Joss Bradley, Korbin Heitzman, Luciano Guerrazzi",3,"Brock Marino, Collin Madson, Isaac Verges, Luke Bara, Richie Warren","Donovan Collins, Josh Elliott, Korbin Heitzman, Logan St. Martin, Raine Rodich"
Aurora Spartans,2025-11-19,13,"Collin Madson, Joey Berezowitz, Kelton McEwen, Rashad Rogers, Richie Warren / Brock Marino, Collin Madson, Isaac Verges, JR Lukenbill, Luke Bara","Cullen Rauls, Isaiah Thompson, Jeffery Hillmer, Juan Madrigal, Mekhi Doby / Isaiah Thompson, Jeffery Hillmer, Juan Madrigal, Mekhi Doby, Zerrick Johnson / Cullen Rauls, Devon Richardson, Jeffery Hillmer, Juan Madrigal, Mekhi Doby",10,"Brock Marino, Collin Madson, Isaac Verges, Jake Quast, Joey Berezowitz / Brock Marino, Collin Madson, Isaac Verges, Jake Quast, Luke Bara","Cullen Rauls, Devon Richardson, Jeffery Hillmer, Juan Madrigal, Zerrick Johnson / Cullen Rauls, Devon Richardson, Juan Madrigal, Mekhi Doby, Zerrick Johnson",23,"Brock Marino, Collin Madson, Isaac Verges, JR Lukenbill, Luke Bara","Cullen Rauls, Devon Richardson, Jeffery Hillmer, Juan Madrigal, Mekhi Doby",4,"Collin Madson, Joey Berezowitz, Luke Bara, Rashad Rogers, Richie Warren","Gevon Grant, Jeffery Hillmer, Juan Madrigal, Larry Carthan, Zerrick Johnson"
Carroll (WI) Pioneers,2025-12-13,7,"Brock Marino, Collin Madson, Isaac Verges, Jake Quast, Kelton McEwen / Brock Marino, Collin Madson, Darius Chestnut, Isaac Verges, Jake Quast","Dennis Estepp, Jacob Naber, Lamar Smith, Michael McNabb, Peyton McKenna",8,"Brock Marino, Darius Chestnut, Isaac Verges, Jake Quast, Kelton McEwen / Brock Marino, Collin Madson, Darius Chestnut, Isaac Verges, Jake Quast / Collin Madson, Darius Chestnut, Isaac Verges, Jake Quast, Richie Warren / Collin Madson, Isaac Verges, Jake Quast, Kelton McEwen, Richie Warren","Dennis Estepp, Jacob Naber, Lamar Smith, Michael McNabb, Peyton McKenna",17,"Brock Marino, Collin Madson, JR Lukenbill, Joey Berezowitz, Kelton McEwen","Dennis Estepp, Jacob Naber, Jimmy Tarjan, Michael McNabb, Peyton McKenna",6,"Brock Marino, Collin Madson, JR Lukenbill, Joey Berezowitz, Kelton McEwen","Cai Joseph, Evan Bland, Jacob Naber, Lamar Smith, Peyton McKenna"
Coe Kohawks,2025-12-30,7,"Brock Marino, Collin Madson, Joey Berezowitz, Luke Bara, Richie Warren / Darius Chestnut, JR Lukenbill, Kelton McEwen, Rashad Rogers, Tyshawn Teague-Johnson","C. Reece Breitenbach, Cooper Nailor, Deuce Walters, Jackson Bowman, Kanyon Bryte",13,"Collin Madson, Commits Foul, Darius Chestnut, JR Lukenbill, Luke Bara / Brock Marino, Collin Madson, Joey Berezowitz, Luke Bara, Richie Warren","Austin Beeson, Cooper Nailor, Deuce Walters, Jackson Bowman, Kanyon Bryte / C. Reece Breitenbach, Cooper Nailor, Deuce Walters, Jackson Bowman, Kanyon Bryte",6,"Commits Foul, JR Lukenbill, Jake Quast, Kelton McEwen, Tyshawn Teague-Johnson","Aaron Foote, C. Reece Breitenbach, Cooper Nailor, Jackson Bowman, Ryan Dolphin",26,"Brock Marino, Collin Madson, Joey Berezowitz, Luke Bara, Richie Warren","C. Reece Breitenbach, Cooper Nailor, Deuce Walters, Jackson Bowman, Kanyon Bryte"
Elmhurst Bluejays,2025-12-02,10,"Collin Madson, Isaac Verges, Luke Bara, Rashad Rogers, Richie Warren","Aidyn Boone, Dominic Trelenberg, Luke Smith, Sebastian Blachut, Vinnie Adjahoungbeta",7,"Brock Marino, Collin Madson, Isaac Verges, Luke Bara, Richie Warren","Aidyn Boone, Dominic Trelenberg, Jack Cherry, Sebastian Blachut, Talen Pearson / Dominic Trelenberg, Jack Cherry, Jeffrey Williams, Sebastian Blachut, Talen Pearson",22,"Collin Madson, Isaac Verges, JR Lukenbill, Jake Quast, Luke Bara","Dominic Trelenberg, Jack Cherry, Sebastian Blachut, Talen Pearson, Vinnie Adjahoungbeta",3,"Collin Madson, Isaac Verges, Luke Bara, Rashad Rogers, Richie Warren","Aidyn Boone, Dominic Trelenberg, Luke Smith, Sebastian Blachut, Vinnie Adjahoungbeta"
Eureka Red Devils,2025-11-15,12,"Darius Chestnut, JR Lukenbill, Jake Quast, Joey Berezowitz, Rashad Rogers / Darius Chestnut, Jake Quast, Joey Berezowitz, Rashad Rogers, Richie Warren","Blake Logsdon, Damuzha Moore, Jacob Gonzalez, Jonah Lauff, Max Richardson / Andrew Wells, Damuzha Moore, Jacob Gonzalez, Jaxson Provost, Jonah Lauff",5,"Brock Marino, Collin Madson, Isaac Verges, JR Lukenbill, Luke Bara","Andrew Coker, Ben Carter, Colin DeLaere, Jaxson Provost, Micah Bruer",46,"Agape Keyes Jr., Mikey Wildes, Rashad Rogers, Trent Grunewald, Zay Howard","Amare Brokemond, Dylan Logsdon, Joel Ewald, Mussie Hayelom, Nicholaus Harris-Huntley",1,"Brock Marino, Collin Madson, Isaac Verges, JR Lukenbill, Luke Bara","Andrew Coker, Ben Carter, Colin DeLaere, Jaxson Provost, Micah Bruer"
Hope Flying Dutchmen,2025-12-19,8,"Collin Madson, Isaac Verges, Jake Quast, Kelton McEwen, Rashad Rogers","Brady Miller, Charles Howell, Marcus Wourman, Orion Yant, Simon Neuhaus / Brady Miller, Justice Mims, Marcus Wourman, Orion Yant, Simon Neuhaus / Brady Miller, Justice Mims, Marcus Wourman, Orion Yant, Parker Hovey / Avery Sanchez, Brady Miller, Justice Mims, Orion Yant, Parker Hovey / Avery Sanchez, Brady Miller, Brendan Cargill, Orion Yant, Parker Hovey",14,"Brock Marino, Collin Madson, Isaac Verges, Luke Bara, Richie Warren / Brock Marino, Collin Madson, Joey Berezowitz, Luke Bara, Richie Warren / Brock Marino, Collin Madson, Jake Quast, Joey Berezowitz, Luke Bara","Brendan Cargill, Justice Mims, Marcus Wourman, Orion Yant, Parker Hovey",6,"Collin Madson, Isaac Verges, Jake Quast, Kelton McEwen, Rashad Rogers","Avery Sanchez, Brady Miller, Brendan Cargill, Orion Yant, Parker Hovey",12,"Brock Marino, Collin Madson, Jake Quast, Joey Berezowitz, Luke Bara","Brendan Cargill, Justice Mims, Marcus Wourman, Orion Yant, Parker Hovey"
Lawrence Vikings,2025-12-10,9,"Collin Madson, JR Lukenbill, Jake Quast, Joey Berezowitz, Kelton McEwen / Brock Marino, JR Lukenbill, Jake Quast, Joey Berezowitz, Kelton McEwen","CJ Campbell, Casey Schoenecker, Hogan Demovsky, Matai Edgecombe, Nathan Valentine / Cameron Nash, Casey Schoenecker, Hogan Demovsky, Jackson Weber, Matai Edgecombe",7,"Collin Madson, Jake Quast, Joey Berezowitz, Kelton McEwen, Rashad Rogers","CJ Campbell, Casey Schoenecker, Hogan Demovsky, Nathan Valentine, Nicholas Gouriotis",32,"Agape Keyes Jr., Austin Ambrose, Darius Chestnut, Isaiah Robinson, Trent Grunewald","Caleb Nash, Damian Cejka, Jackson Weber, Landon Key, Nolan Koch",2,"Brock Marino, Collin Madson, Isaac Verges, Luke Bara, Richie Warren","CJ Campbell, Casey Schoenecker, Hogan Demovsky, Nathan Valentine, Nicholas Gouriotis"
Ripon Red Hawks,2025-11-07,7,"Brock Marino, Collin Madson, Isaac Verges, Luke Bara, Richie Warren","CJ Brown, Jack Field, Michael Asman, Sam Leoni, Seth Bunders",10,"Brock Marino, Collin Madson, Isaac Verges, JR Lukenbill, Luke Bara","CJ Brown, Kolby Williams, Michael Asman, Sam Leoni, Seth Bunders",20,"Agape Keyes Jr., Isaiah Robinson, Kelton McEwen, Mauryon Turner, Rashad Rogers","Anton Kilde, Christian Wilson, Jackson Flowers, Joey Daun, Landon Lee",10,"Brock Marino, Collin Madson, Isaac Verges, JR Lukenbill, Luke Bara","CJ Brown, Kolby Williams, Michael Asman, Sam Leoni, Seth Bunders"
Simpson Storm,2025-11-25,15,"Darius Chestnut, JR Lukenbill, Jake Quast, Joey Berezowitz, Kelton McEwen / Collin Madson, JR Lukenbill, Jake Quast, Joey Berezowitz, Kelton McEwen","Bo Huston, Jachin Mertes, Levi Gurwell, Marcus Haupert, Spencer Holley / Caleb Dyvig, Cam Henderson, Jachin Mertes, Levi Gurwell, Seth Gipple / Brogan Fuller, Caleb Dyvig, Cam Henderson, Jachin Mertes, Levi Gurwell / Bo Huston, Brogan Fuller, Caleb Dyvig, Cam Henderson, Jachin Mertes / Bo Huston, Brogan Fuller, Caleb Dyvig, Cam Henderson, Marcus Haupert / Bo Huston, Brogan Fuller, Cam Henderson, Marcus Haupert, Spencer Holley",11,"Agape Keyes Jr., Isaiah Robinson, Matthew McKay, Trent Grunewald, Tristian Lynch / Agape Keyes Jr., Isaiah Robinson, Mikey Wildes, Trent Grunewald, Tristian Lynch / Agape Keyes Jr., Isaiah Robinson, Mikey Wildes, Trent Grunewald, Zay Howard","Brogan Fuller, Cam Henderson, Levi Gurwell, Marcus Haupert, Seth Gipple / Brogan Fuller, Cam Henderson, Levi Gurwell, Logan Kowalski, Seth Gipple / Caleb Dyvig, Cam Henderson, Logan Kowalski, Michael Kasperbauer, Seth Gipple / Caleb Dyvig, Logan Kowalski, Mateo Dzolota, Michael Kasperbauer, Seth Gipple",33,"Agape Keyes Jr., Isaiah Robinson, Matthew McKay, Rashad Rogers, Trent Grunewald","Bo Huston, Caleb Dyvig, Colton Rasmussen, Jachin Mertes, Michael Kasperbauer",0,"Collin Madson, Isaac Verges, Luke Bara, Rashad Rogers, Richie Warren","Cam Henderson, Colton Rasmussen, Levi Gurwell, Marcus Haupert, Spencer Holley"
