opponent,player,jersey,position,height,hand,class_year,status,games_on_film,photo_url,is_sample
Aurora Spartans,Cullen Rauls,0,G,6-1,,JR,,2 of 4,"data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMTM1IiBoZWlnaHQ9IjQ0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjxwYXRoIGQ9Ik0yNS40OCAyNS44NzFsLTEuNi0yLjc1MyAyLjQ1OC00LjI4NmgtNC45NDlsLTEuNTg1LTIuNzI4aDExLjMwOGwtNS42MjYgOS43NTggMi4xOCAzLjc0NS00LjE2NiA3LjE3N0w3LjMwOCA4Ljg4OGgzMi4zODRsLTQuMTg4IDcuMjE2aC00LjM5MWwxLjk3OS0zLjQzMkgxMy45MDhMMjMuNSAyOS4zMDRsMS45OC0zLjQzM3ptNTMuMTYtNy4zMjdsLS44OTguNTg4YTIuNDMgMi40MyAwIDAwLS41OTMtLjc1NWMtLjE5OC0uMTUtLjU2My0uMzQ3LTEuMTQxLS4zNDctMS4wMDUgMC0xLjcwNC42Mi0xLjcwNCAxLjU1NSAwIC4zOTMuMTA2LjYyLjM4Ljg3Ni4zMDQuMzAyLjY4NS40NjggMS4wNjUuNjM1bC45NzQuNDIyYy41OTMuMjU3IDEuMTQuNTI5IDEuNTY3Ljk1Mi41MTcuNTEzLjczIDEuMTAyLjczIDEuODI3IDAgMS44NTctMS4zODQgMy4wOTYtMy4yMSAzLjA5Ni0uNjcgMC0xLjUwNi0uMTM2LTIuMjA2LS44MTYtLjUwMi0uNDgzLS44MDctMS4xNzgtLjk0NC0xLjc4MmwxLjA5Ni0uMzAyYy4wNzYuNTI5LjMyLjk4Mi42MDggMS4yODQuNDQyLjQzOC45NDQuNTU5IDEuNDYxLjU1OSAxLjM4NSAwIDIuMDM5LS45ODIgMi4wMzktMS45OTQgMC0uNDUzLS4xMzctLjg0NS0uNTAyLTEuMTc4LS4yOS0uMjcxLS42ODUtLjQ1My0xLjIxNy0uNjk0bC0uOTEzLS40MjNjLS4zOTYtLjE4MS0uODk4LS4zOTMtMS4zNTQtLjgzLS40NDItLjQyMy0uNy0uODkyLS43LTEuNjQ3IDAtMS41NTUgMS4yMDItMi41OTcgMi44NDUtMi41OTcuNjI0IDAgMS4xMjYuMTIgMS42MjguNDUzLjQxLjI3Mi43Ni42OC45ODkgMS4xMTh6bTkuOTMtLjU3NHYxLjM4OWE1LjAwMSA1LjAwMSAwIDAwLTEuMzIzLS45MzYgNC4zNSA0LjM1IDAgMDAtMS43NS0uMzkzYy0yLjM0MyAwLTQuMDc4IDEuODczLTQuMDc4IDQuMTk4IDAgMi43MzMgMi4yMzcgNC4xMDggNC4wOTMgNC4xMDguNjg1IDAgMS4zNTQtLjE5NyAxLjg4Ny0uNDY5YTQuNjE0IDQuNjE0IDAgMDAxLjE3MS0uODQ1djEuMzg5YTUuMzEyIDUuMzEyIDAgMDEtMy4wNTguOTgyYy0zLjAxMiAwLTUuMjQ5LTIuMjY2LTUuMjQ5LTUuMTggMC0zLjAwNSAyLjI2Ny01LjI0IDUuMzEtNS4yNC42MDkgMCAxLjc4LjA3NiAyLjk5Ny45OTd6bTYuMzQ2IDkuNDIzYy0yLjkzNyAwLTUuMjgtMi4yMi01LjI4LTUuMjEgMC0zLjAwNSAyLjM1OC01LjIxIDUuMjgtNS4yMSAyLjkyIDAgNS4yOCAyLjIwNSA1LjI4IDUuMjEgMCAyLjk5LTIuMzQ0IDUuMjEtNS4yOCA1LjIxem0wLTkuMzYzYTQuMTI0IDQuMTI0IDAgMDAtNC4xMjQgNC4xNTMgNC4xMjQgNC4xMjQgMCAwMDQuMTI0IDQuMTUzIDQuMTI0IDQuMTI0IDAgMDA0LjEyMy00LjE1MyA0LjEyNCA0LjEyNCAwIDAwLTQuMTIzLTQuMTUzem04LjM3My0uODl2Ni4xNzVjMCAuODQ2IDAgMS43NjcuODA2IDIuNDQ3LjQxMS4zNDcgMS4xMTEuNTc0IDEuNjc0LjU3NHMxLjI2My0uMjI3IDEuNjc0LS41NzRjLjgwNi0uNjguODA2LTEuNjAxLjgwNi0yLjQ0N1YxNy4xNGgxLjEyNnY2LjQ3OGMwIC44NDYtLjA5MSAxLjY2MS0uNjM5IDIuNDE2LS42MDkuODMxLTEuNjc0IDEuMzYtMi45NjcgMS4zNi0xLjI5MyAwLTIuMzU4LS41MjktMi45NjctMS4zNi0uNTQ4LS43NTUtLjYzOS0xLjU3LS42MzktMi40MTZWMTcuMTRoMS4xMjZ6bTEzLjU2MiAxLjA1NmgtMi40NjV2OS4wMTVoLTEuMTI2di05LjAxNWgtMi40NjVWMTcuMTRoNi4wNTZ2MS4wNTctLjAwMXptMi4yNDktMi4wMjZoLjI0MmMuMDc4IDAgLjE0My0uMDEuMTkyLS4wMzIuMDUtLjAyMS4wNzUtLjA3Mi4wNzUtLjE1M2EuMTMyLjEzMiAwIDAwLS4wMjYtLjA4Ni4xNzMuMTczIDAgMDAtLjA2Ni0uMDUuMzM3LjMzNyAwIDAwLS4wOTItLjAyMy43Ny43NyAwIDAwLS4wOTYtLjAwNmgtLjIyOHYuMzVoLS4wMDF6bS0uMjctLjU1N2guNTE1Yy4xNzIgMCAuMzA0LjAzLjM5Ni4wODkuMDkzLjA2LjEzOS4xNjEuMTM5LjMwNWEuNDEuNDEgMCAwMS0uMDI4LjE1OC4yOC4yOCAwIDAxLS4wNzYuMTA3LjM1LjM1IDAgMDEtLjExNC4wNjMuNTg1LjU4NSAwIDAxLS4xNC4wM2wuMzY1LjU4MmgtLjI4NGwtLjMzMy0uNTdoLS4xN3YuNTdoLS4yN3YtMS4zMzR6bS0uNTU4LjcwOGExLjAyMiAxLjAyMiAwIDAwLjI5Ny43MjhjLjA5MS4wOS4yLjE2LjMyMy4yMTEuMTI0LjA1LjI1OC4wNzYuNC4wNzYuMTQgMCAuMjcyLS4wMjUuMzk2LS4wNzZhLjk3OS45NzkgMCAwMC41NDItLjUzM2MuMDU0LS4xMjQuMDgyLS4yNi4wODItLjQwNmEuOTkuOTkgMCAwMC0uNjI0LS45MzMgMS4wNCAxLjA0IDAgMDAtLjM5Ni0uMDc2IDEuMDUgMS4wNSAwIDAwLS40LjA3Ni45OTMuOTkzIDAgMDAtLjU0LjUyOCAxLjAxIDEuMDEgMCAwMC0uMDguNDA1em0tLjI2Ni4wMDFjMC0uMTkzLjAzNS0uMzY5LjEwNi0uNTI2YTEuMjI4IDEuMjI4IDAgMDEuNjkzLS42NTdjLjE1NS0uMDYuMzE3LS4wOTEuNDg3LS4wOTFhMS4zMzIgMS4zMzIgMCAwMS44OTcuMzQ3Yy4xMTguMTEuMjEzLjI0NC4yODMuNDAxLjA3LjE1Ny4xMDYuMzMzLjEwNi41MjZhMS4yNDcgMS4yNDcgMCAwMS0uMzg4LjkzMyAxLjIzMSAxLjIzMSAwIDAxLS40MTEuMjU2Yy0uMTU1LjA2LS4zMTcuMDg5LS40ODcuMDg5LS4xNyAwLS4zMzItLjAzLS40ODctLjA4OWExLjIzMSAxLjIzMSAwIDAxLS43OTktMS4xODl6bS03Mi4xNTEuODAxdjIuMjI3aC0zLjE1MnYxLjY4MmgyLjg2NnYyLjIyN2gtMi44NjZ2My45N2gtMi42MVYxNy4xMjNoNS43NjJ6bTcuMTEgMTAuMTA2bC0uNjE5LTEuNjk3aC0zLjY1bC0uNjc5IDEuNjk3aC0yLjc2bDMuODYxLTEwLjEwNmgyLjg1MWwzLjc4NiAxMC4xMDZoLTIuNzl6bS0zLjU0NS0zLjY5N2gyLjIzMmwtMS4xMzEtMy4yNzMtMS4xMDEgMy4yNzN6bTYuODMgMi43ODhsMS4xMTYtMi4xMjFjLjU1OC41MyAxLjQwMyAxLjAzIDIuMzA4IDEuMDMuNTI4IDAgLjg0NS0uMTY3IDEuMDEtLjM0OWEuOTA2LjkwNiAwIDAwLjI1Ny0uNjM2Ljc5Ljc5IDAgMDAtLjI4Ni0uNjA2Yy0uMjU3LS4yMjctLjY0OS0uMzMzLTEuMjk4LS41M2wtLjY3OC0uMjEyYy0uNDIzLS4xMzctMS4wNDEtLjM2NC0xLjQ0OC0uODE4LS41MTMtLjU2MS0uNTc0LTEuMjczLS41NzQtMS43ODggMC0xLjI0My40ODMtMiAuOTItMi40NC41MTMtLjUxNSAxLjM1OC0uOTU0IDIuNTgtLjk1NC45OTUgMCAyLjE1Ny4zMTggMy4xMDcuODE4bC0xLjA0IDIuMDQ1Yy0uNzg1LS42Mi0xLjM3My0uNjgxLTEuNzItLjY4MS0uMjU3IDAtLjYwNC4wNi0uODYuMzAzLS4xNS4xNTEtLjI1Ni4zMTgtLjI1Ni41NDUgMCAuMTgyLjAzLjMxOC4xMzUuNDU1LjA3Ni4wOS4yNTcuMjcyLjg3NS40NTRsLjguMjQzYy42MzMuMTk3IDEuMjk3LjQyNCAxLjgyNSAxIC41MTIuNTQ1LjY0OCAxLjEwNi42NDggMS44MDIgMCAuOTI1LS4yMjYgMS44MTktLjk1IDIuNTQ2LS44Ni44NjMtMS45IDEuMDMtMi45NzEgMS4wMy0uNjM0IDAtMS4yMzctLjA2LTEuOTc2LS4zMzMtLjE2Ni0uMDYtLjgtLjMwMy0xLjUyNC0uODAzem0xNC43MzItNi45N0g2OC44NHY3Ljg3OWgtMi42MVYxOS4zNWgtMi4xNDJ2LTIuMjI3aDYuODk0djIuMjI3eiIgZmlsbD0iIzA5OTE1RCIgZmlsbC1ydWxlPSJldmVub2RkIi8+PC9zdmc+",False
Aurora Spartans,Bryden Gryzmala,1,G,5-11,,FR,,4 of 4,https://stats-assets.fastmodelsports.com/images/personnel/Aurora/2025-2026/Bryden Gryzmala/1763067640845,False
Aurora Spartans,Juan Madrigal,2,G,6-4,,JR,,4 of 4,https://stats-assets.fastmodelsports.com/images/personnel/Aurora/2025-2026/Juan Madrigal/1763067640173,False
Aurora Spartans,Jeffery Hillmer,3,G,6-4,,JR,,4 of 4,https://stats-assets.fastmodelsports.com/images/personnel/Aurora/2025-2026/Jeffery Hillmer/1763067642739,False
Aurora Spartans,Adam Awender,4,G,6-0,,FR,,1 of 4,https://stats-assets.fastmodelsports.com/images/personnel/Aurora/2025-2026/Adam Awender/1763067644558,False
Aurora Spartans,Larry Carthan,5,F,6-7,,JR,,4 of 4,https://stats-assets.fastmodelsports.com/images/personnel/Aurora/2025-2026/Larry Carthan/1763067640632,False
Aurora Spartans,Mekhi Doby,11,G,6-3,,JR,,1 of 4,https://stats-assets.fastmodelsports.com/images/personnel/Aurora/2025-2026/Mekhi Doby/1763067641902,False
Aurora Spartans,Robert Hutson,12,G,6-3,,SO,,4 of 4,https://stats-assets.fastmodelsports.com/images/personnel/Aurora/2025-2026/Robert Hutson/1763067643426,False
Aurora Spartans,Zerrick Johnson,13,G,6-2,,FR,,4 of 4,https://stats-assets.fastmodelsports.com/images/personnel/Aurora/2025-2026/Zerrick Johnson/1763067644141,False
Aurora Spartans,Isaiah Thompson,21,F,6-3,,SR,,4 of 4,https://stats-assets.fastmodelsports.com/images/personnel/Aurora/2025-2026/Isaiah Thompson/1763067642420,False
