side,team,lineup,grouping,shape,scouted_opponent
UWW,UW-Whitewater,"Brock Marino, Collin Madson, Isaac Verges, JR Lukenbill, Luke Bara",3G-2W,3G-2W,Aurora Spartans
UWW,UW-Whitewater,"Brock Marino, Collin Madson, Darius Chestnut, JR Lukenbill, Joey Berezowitz",3G-2W,3G-2W,Aurora Spartans
UWW,UW-Whitewater,"Collin Madson, Darius Chestnut, Jake Quast, Joey Berezowitz, Richie Warren",4G-1W,4G-1W,Aurora Spartans
UWW,UW-Whitewater,"Collin Madson, Jake Quast, Joey Berezowitz, Kelton McEwen, Richie Warren",4G-1W,4G-1W,Aurora Spartans
UWW,UW-Whitewater,"JR Lukenbill, Jake Quast, Joey Berezowitz, Kelton McEwen, Richie Warren",3G-2W,3G-2W,Aurora Spartans
UWW,UW-Whitewater,"Isaac Verges, JR Lukenbill, Jake Quast, Kelton McEwen, Richie Warren",3G-2W,3G-2W,Aurora Spartans
UWW,UW-Whitewater,"Brock Marino, Isaac Verges, JR Lukenbill, Kelton McEwen, Richie Warren",2G-3W,2G-3W,Aurora Spartans
UWW,UW-Whitewater,"Brock Marino, Collin Madson, Isaac Verges, Jake Quast, Luke Bara",4G-1W,4G-1W,Aurora Spartans
UWW,UW-Whitewater,"Collin Madson, Isaac Verges, Jake Quast, Luke Bara, Richie Warren",4G-1W,4G-1W,Aurora Spartans
UWW,UW-Whitewater,"Collin Madson, Isaac Verges, JR Lukenbill, Jake Quast, Richie Warren",3G-2W,3G-2W,Aurora Spartans
UWW,UW-Whitewater,"Isaac Verges, JR Lukenbill, Jake Quast, Rashad Rogers, Richie Warren",2G-3W,2G-3W,Aurora Spartans
UWW,UW-Whitewater,"Collin Madson, Isaac Verges, JR Lukenbill, Luke Bara, Richie Warren",3G-2W,3G-2W,Aurora Spartans
UWW,UW-Whitewater,"Collin Madson, Jake Quast, Joey Berezowitz, Luke Bara, Richie Warren",4G-1W,4G-1W,Aurora Spartans
UWW,UW-Whitewater,"Brock Marino, Collin Madson, Jake Quast, Joey Berezowitz, Richie Warren",3G-2W,3G-2W,Aurora Spartans
UWW,UW-Whitewater,"Collin Madson, JR Lukenbill, Jake Quast, Joey Berezowitz, Richie Warren",3G-2W,3G-2W,Aurora Spartans
UWW,UW-Whitewater,"Austin Ambrose, JR Lukenbill, Jake Quast, Joey Berezowitz, Richie Warren",2G-3W,2G-3W,Aurora Spartans
UWW,UW-Whitewater,"Brock Marino, Collin Madson, Jake Quast, Kelton McEwen, Richie Warren",3G-2W,3G-2W,Aurora Spartans
