opponent,game_date,category,key_number,icon,headline,evidence,reasoning,source
UW-Stevens Point Pointers,2026-01-07,Offense,1,🏀,Feature our best look: Putback off the offensive glass,"26/29 (90% FG, 90% eFG) · 1.79 pts/attempt · +0.65 vs all looks (1.14) · 4% of attempts this season","Marino, Madson, Verges, Bara, Warren gets it best (5/5, 100%)",Data-Driven
UW-Stevens Point Pointers,2026-01-07,Offense,2,🎯,Attack their weakest look: Cut to the basket,"Opponents shot 27/33 (82% FG, 82% eFG) · 1.64 pts/attempt · +0.59 vs all looks (1.05) · 5% of attempts on this against UW-Stevens Point Pointers","Best on this shot (5+ attempts):
• Marino, Madson, Verges, Bara, Warren 3/12 (25%)
Runs it most:
• Marino, Madson, Verges, Bara, Warren 12x (25%)
• Madson, Verges, Lukenbill, Quast, Bara 3x (100%)
• Chestnut, Lukenbill, Quast, McEwen, Teague-Johnson 3x (100%)
Usually comes off Flow for us (3 of 12 tagged possessions this season)",Data-Driven
UW-Stevens Point Pointers,2026-01-07,Offense,3,📋,Call our best set: Flow,1.58 PPP on 33 uses vs our 1.12 overall · 15/21 FG,Finished most by Collin Madson (6x). Our most productive tagged set with 4+ uses this season.,Data-Driven
UW-Stevens Point Pointers,2026-01-07,Defense,4,📊,Take away their most efficient high-volume actions,Offensive Rebound: 77.8% on 18 attempts; Cut: 62.3% on 106 attempts,Each is 5+ points above their 48.5% overall clip on 15+ attempts. Offensive Rebound: hit a body on every shot before going to the ball. Cut: jump to the ball on every pass and see man and ball -- no back-cuts behind ball-watchers.,Data-Driven
UW-Stevens Point Pointers,2026-01-07,Defense,5,📊,Funnel them into their worst high-volume looks,Spot-Up: 33.2% on 223 attempts; Off Screen: 36.7% on 30 attempts,Each is 5+ points below their 48.5% overall clip -- don't help off these actions; make them keep taking them.,Data-Driven
UW-Stevens Point Pointers,2026-01-07,Defense,6,📊,Pressure the actions they turn it over on,Hand Off: 5 TO in 28 uses (17.9% vs 8.6% across all actions); Post-Up: 19 TO in 118 uses (16.1% vs 8.6% across all actions),"Loosest actions per use, not the most common ones -- load ball pressure and gap help onto these specifically rather than pressing everything.",Data-Driven
UW-Stevens Point Pointers,2026-01-07,Defense,7,🛡️,What UW-Stevens Point Pointers goes to most: Drive to the basket,"187 attempts, 64% -- across their games before UWW","What their offense goes to most often, regardless of how well it's worked -- worth a specific defensive scheme item to take away.",Data-Driven
UW-Stevens Point Pointers,2026-01-07,Defense,8,📋,Take away their go-to set: Flow,36 uses in 4 games · 0.91 PPP (their overall 1.02) · 10/20 FG · 11 TO,"Finished most by Carter Combs (8x). Next most-called: Chin (24 uses). Busiest inbounds set: BLOB (20 uses, 0.94 PPP). Tagged as: flow: m2m d | flow: uwsp m2m d | flow: uww m2m press",Data-Driven
UW-Stevens Point Pointers,2026-01-07,Defense,9,📋,Know their best set: Blocker-Mover,2.25 PPP on 6 uses vs 1.02 overall,Finished most by Josiah Butler. Their most productive set with real volume -- the one to recognize by its alignment and call out before the action starts.,Data-Driven
UW-Stevens Point Pointers,2026-01-07,Defense,10,,Finish every defensive possession with a box-out,"They grab 38% of their own misses (178 of 465 paired misses in their play-by-play); most by Wis.-Stevens Point (48), Seth Miron (33).",At 38% they turn a real share of misses into second chances -- a stop isn't a stop until the rebound is secured. Put a body on Wis.-Stevens Point on every shot.,Data-Driven
UW-Stevens Point Pointers,2026-01-07,Personnel,11,🔒,"Attack UW-Stevens Point Pointers's Krohn, Combs, Butler, Baumgartner, Miron lineup","Worst +/- lineups:
-17.0 in 130.9 min, 52% FG — Krohn, Combs, Butler, Baumgartner, Miron
-14.0 in 31.8 min, 41% FG — Krohn, Combs, Bocher, Butler, Miron
-10.0 in 15.2 min, 71% FG — Krohn, Combs, Butler, Raimer, Miron
Highest TO rate (per 40 min):
33.7 TO/40 — Krohn, Combs, Baumgartner, Raimer, Miron
10.5 TO/40 — Krohn, Combs, Butler, Raimer, Miron","UW-Stevens Point Pointers's most exploitable units: their worst net-rating lineups with real minutes this season (8+ min, losing their minutes), and the lineups that give the ball away most per 40 minutes. The headline names the worst of them.",Lineup Scouting
UW-Stevens Point Pointers,2026-01-07,Personnel,12,🔒,"Attack UW-Stevens Point Pointers's Krohn, Combs, Butler combo","Worst +/- 3-man combos:
-53.0 in 271.5 min — Krohn, Combs, Butler
-44.0 in 280.6 min — Combs, Butler, Miron
-31.0 in 283.3 min — Krohn, Butler, Miron",UW-Stevens Point Pointers's most exploitable 3-man combinations: their worst net-rating units with real minutes this season (12+ min).,Lineup Scouting
UW-Stevens Point Pointers,2026-01-07,Personnel,13,,"Feature the Chestnut, Quast, Berezowitz combo","Chestnut, Quast, Berezowitz: +23.6 per 40 after shrinkage (+44.5 raw) · on/off +36.1 · 45 competitive min in 9 games
Madson, Berezowitz, McEwen: +22.7 per 40 after shrinkage (+38.5 raw) · on/off +30.3 · 57 competitive min in 10 games
Quast, Berezowitz, McEwen: +22.2 per 40 after shrinkage (+37.6 raw) · on/off +29.3 · 57 competitive min in 9 games","How this combo was chosen: every 3-player group from our lineup stints, using COMPETITIVE minutes only -- a stint that starts in the 2nd half or OT with the margin at 15+ is garbage time and set aside. A trio needs 40+ competitive minutes across 3+ games. It is ranked by scoring margin per 40 minutes, shrunk toward zero as if 40 more minutes of an even game were added (so a short hot streak can't top the list), and it must also be ON/OFF positive -- we do better with these three on the floor than without them, which is what separates the trio from whoever else was out there with them. Season-wide, not specific to this opponent.",Lineup Scouting
