player,player_key,role,sentiment,category,flag,evidence,recommendation,confidence
Agape Keyes Jr.,agape keyes jr.,Unknown,Neutral,General / limited data,No performance data yet to flag positively,"No recorded minutes, shot attempts, or season stats found for him as of reference_date.",Re-evaluate once he sees game action and stats are recorded.,Low (no data)
Austin Ambrose,austin ambrose,Unknown,Neutral,General / limited data,No performance data yet to flag positively,"No recorded minutes, shot attempts, or season stats found for him as of reference_date.",Re-evaluate once he sees game action and stats are recorded.,Low (no data)
Brock Marino,brock marino,Unknown,Neutral,General / limited data,No performance data yet to flag positively,"No recorded minutes, shot attempts, or season stats found for him as of reference_date.",Re-evaluate once he sees game action and stats are recorded.,Low (no data)
Collin Madson,collin madson,Unknown,Neutral,General / limited data,No performance data yet to flag positively,"No recorded minutes, shot attempts, or season stats found for him as of reference_date.",Re-evaluate once he sees game action and stats are recorded.,Low (no data)
Darius Chestnut,darius chestnut,Unknown,Neutral,General / limited data,No performance data yet to flag positively,"No recorded minutes, shot attempts, or season stats found for him as of reference_date.",Re-evaluate once he sees game action and stats are recorded.,Low (no data)
Isaac Verges,isaac verges,Unknown,Neutral,General / limited data,No performance data yet to flag positively,"No recorded minutes, shot attempts, or season stats found for him as of reference_date.",Re-evaluate once he sees game action and stats are recorded.,Low (no data)
Isaiah Robinson,isaiah robinson,Unknown,Neutral,General / limited data,No performance data yet to flag positively,"No recorded minutes, shot attempts, or season stats found for him as of reference_date.",Re-evaluate once he sees game action and stats are recorded.,Low (no data)
JR Lukenbill,jr lukenbill,Unknown,Neutral,General / limited data,No performance data yet to flag positively,"No recorded minutes, shot attempts, or season stats found for him as of reference_date.",Re-evaluate once he sees game action and stats are recorded.,Low (no data)
Jake Quast,jake quast,Unknown,Neutral,General / limited data,No performance data yet to flag positively,"No recorded minutes, shot attempts, or season stats found for him as of reference_date.",Re-evaluate once he sees game action and stats are recorded.,Low (no data)
Joey Berezowitz,joey berezowitz,Unknown,Neutral,General / limited data,No performance data yet to flag positively,"No recorded minutes, shot attempts, or season stats found for him as of reference_date.",Re-evaluate once he sees game action and stats are recorded.,Low (no data)
Kelton McEwen,kelton mcewen,Unknown,Neutral,General / limited data,No performance data yet to flag positively,"No recorded minutes, shot attempts, or season stats found for him as of reference_date.",Re-evaluate once he sees game action and stats are recorded.,Low (no data)
Luke Bara,luke bara,Unknown,Neutral,General / limited data,No performance data yet to flag positively,"No recorded minutes, shot attempts, or season stats found for him as of reference_date.",Re-evaluate once he sees game action and stats are recorded.,Low (no data)
Matthew McKay,matthew mckay,Unknown,Neutral,General / limited data,No performance data yet to flag positively,"No recorded minutes, shot attempts, or season stats found for him as of reference_date.",Re-evaluate once he sees game action and stats are recorded.,Low (no data)
Maurquis Turner,maurquis turner,Unknown,Neutral,General / limited data,No performance data yet to flag positively,"No recorded minutes, shot attempts, or season stats found for him as of reference_date.",Re-evaluate once he sees game action and stats are recorded.,Low (no data)
Mikey Wildes,mikey wildes,Unknown,Neutral,General / limited data,No performance data yet to flag positively,"No recorded minutes, shot attempts, or season stats found for him as of reference_date.",Re-evaluate once he sees game action and stats are recorded.,Low (no data)
Rashad Rogers,rashad rogers,Unknown,Neutral,General / limited data,No performance data yet to flag positively,"No recorded minutes, shot attempts, or season stats found for him as of reference_date.",Re-evaluate once he sees game action and stats are recorded.,Low (no data)
Richie Warren,richie warren,Unknown,Neutral,General / limited data,No performance data yet to flag positively,"No recorded minutes, shot attempts, or season stats found for him as of reference_date.",Re-evaluate once he sees game action and stats are recorded.,Low (no data)
Spencer Cullum,spencer cullum,Unknown,Neutral,General / limited data,No performance data yet to flag positively,"No recorded minutes, shot attempts, or season stats found for him as of reference_date.",Re-evaluate once he sees game action and stats are recorded.,Low (no data)
Trent Grunewald,trent grunewald,Unknown,Neutral,General / limited data,No performance data yet to flag positively,"No recorded minutes, shot attempts, or season stats found for him as of reference_date.",Re-evaluate once he sees game action and stats are recorded.,Low (no data)
Tristian Lynch,tristian lynch,Unknown,Neutral,General / limited data,No performance data yet to flag positively,"No recorded minutes, shot attempts, or season stats found for him as of reference_date.",Re-evaluate once he sees game action and stats are recorded.,Low (no data)
Tyshawn Teague-Johnson,tyshawn teague-johnson,Unknown,Neutral,General / limited data,No performance data yet to flag positively,"No recorded minutes, shot attempts, or season stats found for him as of reference_date.",Re-evaluate once he sees game action and stats are recorded.,Low (no data)
Zay Howard,zay howard,Unknown,Neutral,General / limited data,No performance data yet to flag positively,"No recorded minutes, shot attempts, or season stats found for him as of reference_date.",Re-evaluate once he sees game action and stats are recorded.,Low (no data)
